Time;Austria;Belgium;Denmark;Finland;France;Germany;Greece;Ireland;Italy;Luxembourg;Netherlands;Portugal;Spain;Sweden;United Kingdom
Aug-2007;4,38;4,44;4,39;4,39;4,39;4,3;4,62;4,38;4,58;..;4,38;4,55;4,4;4,25;5,15
Sep-2007;4,33;4,4;4,36;4,34;4,36;4,22;4,56;4,42;4,57;..;4,34;4,5;4,35;4,22;4,99
Oct-2007;4,4;4,42;4,39;4,38;4,4;4,28;4,58;4,4;4,59;..;4,38;4,52;4,38;4,31;4,96
Nov-2007;4,21;4,29;4,21;4,22;4,23;4,09;4,43;4,37;4,45;..;4,21;4,36;4,25;4,22;4,73
Dec-2007;4,35;4,42;4,33;4,34;4,35;4,21;4,53;4,5;4,54;..;4,34;4,47;4,35;4,31;4,69
Jan-2008;4,22;4,25;4,15;4,14;4,15;4,03;4,4;4,21;4,4;..;4,13;4,31;4,18;4,08;4,49
Feb-2008;4,18;4,15;4,08;4,06;4,08;3,95;4,36;4,22;4,35;..;4,05;4,27;4,14;4,02;4,62
Mar-2008;4,14;4,14;4,04;4;4,02;3,8;4,42;4,3;4,38;..;3,97;4,36;4,12;3,92;4,45
Apr-2008;4,34;4,39;4,29;4,22;4,27;4,04;4,54;4,59;4,53;..;4,21;4,52;4,31;4,06;4,64
May-2008;4,48;4,53;4,42;4,47;4,41;4,2;4,74;4,73;4,7;..;4,35;4,6;4,42;4,18;4,87
Jun-2008;4,8;4,84;4,82;4,78;4,73;4,52;5,17;4,96;5,11;..;4,73;4,96;4,79;4,43;5,21
Jul-2008;4,78;4,86;4,78;4,77;4,69;4,49;5,15;4,78;5,09;..;4,69;4,95;4,8;4,37;5,05
Aug-2008;4,48;4,57;4,49;4,47;4,4;4,2;4,87;4,56;4,81;..;4,4;4,69;4,56;4,11;4,73
Sep-2008;4,46;4,57;4,37;4,43;4,36;4,09;4,88;4,56;4,8;..;4,35;4,66;4,57;3,9;4,57
Oct-2008;4,33;4,44;4,39;4,33;4,18;3,88;4,93;4,55;4,78;..;4,23;4,56;4,47;3,57;4,58
Nov-2008;4,19;4,2;4,06;4,09;3,98;3,56;5,09;4,57;4,74;..;3,96;4,35;4,15;3,34;4,26
Dec-2008;3,9;3,84;3,5;3,72;3,54;3,05;5,08;4,57;4,47;..;3,65;4;3,86;2,67;3,62
Jan-2009;4;4,04;3,44;3,87;3,6;3,07;5,6;5,7;4,62;..;3,76;4,32;4,15;2,8;3,67
Feb-2009;4,21;4,06;3,55;3,93;3,68;3,13;5,7;5,75;4,54;..;3,8;4,52;4,23;2,93;3,69
Mar-2009;4,16;4,01;3,44;3,81;3,65;3,02;5,87;5,52;4,46;..;3,66;4,68;4,06;2,94;3,25
Apr-2009;4,04;3,9;3,5;3,78;3,66;3,13;5,5;5,27;4,36;..;3,77;4,53;4,01;3,18;3,41
May-2009;4,1;3,93;3,62;3,91;3,8;3,37;5,22;5,53;4,42;..;3,85;4,29;4,05;3,57;3,62
Jun-2009;4,32;4,03;3,76;3,98;3,9;3,47;5,33;5,79;4,61;..;3,96;4,5;4,24;3,62;3,72
Jul-2009;4,04;3,78;3,74;3,77;3,73;3,34;4,89;5,04;4,37;..;3,76;4,25;4,01;3,37;3,82
Aug-2009;3,76;3,62;3,6;3,63;3,58;3,31;4,52;4,87;4,12;..;3,61;3,95;3,78;3,45;3,71
Sep-2009;3,75;3,6;3,65;3,62;3,59;3,26;4,56;4,71;4,09;..;3,58;3,93;3,8;3,38;3,66
Oct-2009;3,65;3,66;3,6;3,57;3,56;3,21;4,57;4,76;4,1;..;3,53;3,85;3,77;3,25;3,57
Nov-2009;3,6;3,61;3,62;3,53;3,55;3,22;4,84;4,91;4,06;..;3,52;3,8;3,79;3,27;3,76
Dec-2009;3,61;3,58;3,53;3,46;3,48;3,14;5,49;4,94;4,01;..;3,44;3,91;3,8;3,24;3,89
Jan-2010;3,75;3,6;3,57;3,49;3,52;3,26;6,02;4,83;4,08;..;3,47;4,17;3,99;3,37;4
Feb-2010;3,66;3,5;3,5;3,38;3,5;3,17;6,46;4,59;4,05;..;3,36;4,56;3,98;3,28;4,06
Mar-2010;3,53;3,42;3,4;3,26;3,44;3,1;6,24;4,53;3,95;..;3,37;4,31;3,83;3,2;4,09
Apr-2010;3,46;3,42;3,34;3,36;3,4;3,06;7,83;5,2;4;..;3,32;4,78;3,9;3,14;4,1
May-2010;3,21;3,24;2,93;3,03;3,08;2,73;7,97;4,74;3,99;3,15;3,02;5,02;4,08;2,73;3,78
Jun-2010;3,2;3,4;2,7;2,92;3,07;2,54;9,1;5,5;4,1;3,01;2,9;5,54;4,56;2,61;3,6
Jul-2010;3,07;3,21;2,72;2,85;2,99;2,62;10,34;5,04;4,03;2,98;2,85;5,49;4,43;2,7;3,51
Aug-2010;2,77;2,91;2,45;2,62;2,68;2,35;10,7;5,68;3,8;2,67;2,56;5,31;4,04;2,45;3,23
Sep-2010;2,8;3;2,4;2,58;2,68;2,3;11,34;6,57;3,86;2,67;2,52;6,08;4,1;2,53;3,13
Oct-2010;2,82;3,13;2,46;2,63;2,72;2,35;9,57;6,92;3,8;2,73;2,58;6,05;4,04;2,64;3,07
Nov-2010;3,01;3,38;2,65;2,82;3;2,53;11,52;9,25;4,18;2,94;2,79;6,91;4,69;2,86;3,31
Dec-2010;3,43;3,93;3,01;3,19;3,34;2,91;12,01;9,06;4,6;3,32;3,16;6,53;5,37;3,21;3,61
Jan-2011;3,54;4,08;3,05;3,27;3,44;3,02;11,73;9,15;4,73;3,3;3,23;6,94;5,38;3,28;3,73
Feb-2011;3,68;4,11;3,23;3,41;3,6;3,2;11,4;9,29;4,74;3,45;3,41;7,34;5,26;3,41;3,88
Mar-2011;3,68;4,1;3,29;3,45;3,61;3,21;12,44;10,22;4,88;3,47;3,42;7,8;5,25;3,35;3,74
Apr-2011;3,76;4,23;3,42;3,57;3,69;3,34;13,86;10,47;4,84;3,57;3,65;9,19;5,33;3,3;3,76
May-2011;3,53;4,18;3,13;3,32;3,49;3,06;15,94;11,03;4,76;3,29;3,4;9,63;5,32;3,01;3,51
Jun-2011;3,43;4,11;2,96;3,29;3,43;2,89;16,69;11,7;4,82;3,15;3,28;10,86;5,48;2,89;3,41
Jul-2011;3,35;4,16;3,02;3,16;3,4;2,74;16,15;10,85;5,46;3,03;3,17;12,15;5,83;2,75;3,31
Aug-2011;2,84;4,04;2,49;2,68;2,98;2,21;15,9;8,63;5,27;2,59;2,68;10,93;5,25;2,17;2,78
Sep-2011;2,64;3,85;2,07;2,35;2,64;1,83;17,78;7,64;5,75;2,27;2,34;11,34;5,2;1,83;2,5
Oct-2011;2,92;4,18;2,23;2,51;2,99;2;18,04;8,15;5,97;2,37;2,46;11,72;5,26;1,9;2,53
Nov-2011;3,36;4,79;2,01;2,54;3,41;1,87;17,92;9,32;7,06;2,31;2,45;11,89;6,19;1,69;2,29
Dec-2011;3,1;4,3;1,86;2,52;3,16;1,93;21,14;8,48;6,81;2,26;2,38;13,08;5,51;1,68;2,18
Jan-2012;3,27;4,01;1,73;2,28;3,18;1,82;25,91;7,29;6,54;2,07;2,2;13,85;5,4;1,7;2,11
Feb-2012;3;3,48;1,84;2,34;3,02;1,85;29,24;7,01;5,55;2,03;2,24;12,81;5,11;1,89;2,22
Mar-2012;2,87;3,33;1,89;2,3;2,95;1,83;19,06;6,84;5,05;2,37;2,25;13,01;5,17;1,95;2,32
Apr-2012;2,83;3,42;1,71;2,15;2,99;1,62;21,48;6,82;5,68;2,22;2,29;12,01;5,79;1,82;2,21
May-2012;2,49;3,22;1,37;1,82;2,75;1,34;26,9;7,23;5,78;1,92;1,97;11,59;6,13;1,51;1,94
Jun-2012;2,29;3,09;1,26;1,76;2,57;1,3;27,82;6,33;5,9;1,82;1,93;10,56;6,59;1,45;1,77
Jul-2012;2,07;2,74;1,1;1,55;2,28;1,24;25,82;5,98;6;1,7;1,75;10,49;6,8;1,33;1,65
Aug-2012;1,97;2,55;1,15;1,54;2,12;1,34;24,34;5,86;5,82;1,66;1,76;9,89;6,58;1,44;1,67
Sep-2012;2,04;2,59;1,31;1,82;2,24;1,49;20,91;5;5,25;1,65;1,84;8,62;5,92;1,51;1,72
Oct-2012;2,02;2,53;1,29;1,78;2,19;1,47;17,96;4,66;4,95;1,62;1,77;8,17;5,65;1,54;1,77
Nov-2012;1,85;2,4;1,11;1,67;2,14;1,34;17,2;4,43;4,85;1,52;1,65;8,32;5,69;1,46;1,77
Dec-2012;1,77;2,19;1,07;1,59;2,01;1,3;13,33;4,45;4,54;1,43;1,56;7,25;5,34;1,51;1,85
Jan-2013;1,92;2,27;1,61;1,74;2,17;1,51;11,1;4,06;4,21;1,59;1,73;6,24;5,05;1,8;2,08
Feb-2013;1,96;2,37;1,73;1,81;2,24;1,54;10,95;3,77;4,49;1,69;1,83;6,4;5,22;2;2,18
Mar-2013;1,75;2,22;1,59;1,61;2,07;1,35;11,38;4,22;4,64;1,55;1,67;6,1;4,92;1,92;1,98
Apr-2013;1,64;1,96;1,42;1,51;1,8;1,2;11,58;3,52;4,28;1,41;1,66;6,15;4,59;1,66;1,78
May-2013;1,75;1,95;1,45;1,6;1,87;1,29;9,07;3,85;3,96;1,46;1,69;5,46;4,25;1,79;1,95
Jun-2013;2,04;2,35;1,72;1,88;2,21;1,53;10,07;4,07;4,38;1,76;2;6,3;4,67;2,05;2,31
Jul-2013;2,06;2,46;1,77;1,91;2,25;1,56;10,53;3,88;4,42;1,84;2,03;6,87;4,66;2,16;2,47
Aug-2013;2,22;2,57;1,94;2,07;2,36;1,73;10,01;4,19;4,42;2,2;2,2;6,6;4,51;2,34;2,71
Sep-2013;2,34;2,73;2,1;2,19;2,49;1,89;10,15;3,88;4,54;2,27;2,32;7,06;4,42;2,6;2,84
Oct-2013;2,19;2,66;1,93;2,04;2,39;1,76;8,74;3,5;4,25;2,14;2,18;6,33;4,22;2,44;2,68
Nov-2013;2,08;2,49;1,8;1,94;2,27;1,68;8,41;3,53;4,1;2,01;2,06;5,98;4,11;2,3;2,76
Dec-2013;2,17;2,46;1,89;2,03;2,33;1,8;8,66;3,47;4,11;2,1;2,16;6,04;4,14;2,39;2,95
Jan-2014;2,13;2,47;1,86;1,99;2,38;1,76;8,18;3,31;3,87;2,06;2,1;5,21;3,78;2,37;2,91
Feb-2014;1,95;2,27;1,67;1,92;2,25;1,56;7,7;3,1;3,65;1,87;1,89;4,94;3,56;2,23;2,81
Mar-2014;1,87;2,19;1,61;1,9;2,15;1,51;6,9;3,01;3,4;1,8;1,81;4,43;3,31;2,16;2,78
Apr-2014;1,77;2,16;1,57;1,84;2,03;1,46;6,2;2,82;3,23;1,71;1,85;3,82;3,1;2,06;2,74
May-2014;1,62;1,99;1,47;1,69;1,84;1,33;6,38;2,59;3,12;1,57;1,71;3,66;2,93;1,88;2,7
Jun-2014;1,65;1,86;1,38;1,57;1,71;1,26;5,93;2,36;2,92;1,44;1,6;3,5;2,71;1,8;2,78
Jul-2014;1,47;1,65;1,24;1,36;1,56;1,11;6,1;2,21;2,79;1,26;1,41;3,69;2,65;1,6;2,73
Aug-2014;1,28;1,44;1,07;1,18;1,41;0,95;6,09;1,78;2,63;1,08;1,2;3,47;2,31;1,58;2,53
Sep-2014;1,22;1,39;0,96;1,13;1,35;0,92;5,89;1,65;2,4;0,98;1,15;3,18;2,16;1,51;2,49
Oct-2014;1,1;1,28;1,13;1,01;1,26;0,79;7,26;1,71;2,42;0,87;1,03;3,21;2,11;1,3;2,25
Nov-2014;0,98;1,18;1,03;0,9;1,14;0,72;8,1;1,38;2,29;0,75;0,93;3,13;2,07;1,14;2,16
Dec-2014;0,81;1;0,93;0,89;0,92;0,59;8,42;1,25;1,99;0,65;0,78;2,81;1,79;1,01;1,93
Jan-2015;0,54;0,75;0,63;0,62;0,67;0,39;9,48;1,16;1,7;0,47;0,52;2,49;1,54;0,78;1,59
Feb-2015;0,44;0,61;0,2;0,48;0,6;0,3;9,72;0,86;1,56;0,33;0,42;2,32;1,51;0,62;1,74
Mar-2015;0,37;0,48;0,3;0,39;0,51;0,23;10,52;0,75;1,29;0,16;0,33;1,74;1,23;0,58;1,79
Apr-2015;0,29;0,47;0,25;0,27;0,42;0,12;12;0,93;1,36;0,07;0,31;1,87;1,31;0,34;1,76
May-2015;0,73;0,9;0,73;0,71;0,89;0,56;10,95;1,26;1,81;0,41;0,75;2,41;1,77;0,75;2,02
Jun-2015;1,06;1,22;..;1,01;1,2;0,79;..;..;2,2;..;1,05;..;2,23;0,99;2,19
