"Dataset name: National accounts, Main aggregates (Eurostat ESA2010 TP, table 1); Frequency: Quarterly; Adjustment indicator: Neither seasonally nor working day adjusted; Counterpart area: World (all entities, including reference area, including IO); Reference sector: Total economy; Counterpart sector: Total economy; Accounting entries: Not applicable; Stocks, Transactions, Other Flows: Labour Productivity (per persons); Instrument and assets classification: Not applicable; Activity classification: Total - All activities; Expenditure (COFOG, COICOP, COPP or COPNI): Not applicable; Unit of measure: Index; Prices: Chain linked volume (rebased); Transformation: Non transformed data"
,MNA.Q.N.AT.W0.S1.S1._Z.LPR_PS._Z._T._Z.IX.LR.N,MNA.Q.N.BE.W0.S1.S1._Z.LPR_PS._Z._T._Z.IX.LR.N,MNA.Q.N.DE.W0.S1.S1._Z.LPR_PS._Z._T._Z.IX.LR.N,MNA.Q.N.DK.W0.S1.S1._Z.LPR_PS._Z._T._Z.IX.LR.N,MNA.Q.N.ES.W0.S1.S1._Z.LPR_PS._Z._T._Z.IX.LR.N,MNA.Q.N.FI.W0.S1.S1._Z.LPR_PS._Z._T._Z.IX.LR.N,MNA.Q.N.FR.W0.S1.S1._Z.LPR_PS._Z._T._Z.IX.LR.N,MNA.Q.N.GB.W0.S1.S1._Z.LPR_PS._Z._T._Z.IX.LR.N,MNA.Q.N.GR.W0.S1.S1._Z.LPR_PS._Z._T._Z.IX.LR.N,MNA.Q.N.IE.W0.S1.S1._Z.LPR_PS._Z._T._Z.IX.LR.N,MNA.Q.N.IT.W0.S1.S1._Z.LPR_PS._Z._T._Z.IX.LR.N,MNA.Q.N.LU.W0.S1.S1._Z.LPR_PS._Z._T._Z.IX.LR.N,MNA.Q.N.NL.W0.S1.S1._Z.LPR_PS._Z._T._Z.IX.LR.N,MNA.Q.N.PT.W0.S1.S1._Z.LPR_PS._Z._T._Z.IX.LR.N,MNA.Q.N.SE.W0.S1.S1._Z.LPR_PS._Z._T._Z.IX.LR.N
,Austria,Belgium,Germany,Denmark,Spain,Finland,France,United Kingdom,Greece,Ireland,Italy,Luxembourg,Netherlands,Portugal,Sweden
Collection:,Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A)
Period\Unit:,[Units ],[Units ],[Units ],[Units ],[Units ],[Units ],[Units ],[Units ],[Units ],[Units ],[Units ],[Units ],[Units ],[Units ],[Units ]
2015Q1,97.05,99.60,102.76,100.17,103.27,96.55,102.43,101.72,92.84,,95.45,,102.12,99.13,100.51
2014Q4,103.71,106.65,100.84,103.23,107.91,104.13,103.92,103.35,98.72,104.16,98.85,,104.89,101.64,106.50
2014Q3,100.08,96.14,103.31,99.95,102.97,96.82,99.64,102.51,104.43,107.14,97.36,96.81,98.97,101.98,92.09
2014Q2,98.94,102.94,100.58,99.94,106.98,98.27,101.60,100.95,100.27,106.95,97.75,97.45,102.13,101.35,104.47
2014Q1,97.45,99.29,102.32,99.45,103.24,96.77,101.57,100.85,93.25,104.78,95.59,96.37,100.21,98.77,99.80
2013Q4,104.33,106.08,100.15,102.76,108.22,103.65,103.87,102.71,99.95,101.69,99.84,98.79,103.98,101.77,105.33
2013Q3,100.40,95.67,102.90,99.41,103.00,96.81,99.89,101.32,103.94,104.34,98.16,95.32,97.48,102.37,91.46
2013Q2,99.37,102.41,100.49,100.23,107.10,97.75,102.15,100.11,99.46,101.42,98.24,98.40,100.66,102.20,103.51
2013Q1,98.17,98.15,100.44,98.95,102.32,96.04,101.29,100.65,93.27,103.24,95.29,96.15,99.34,99.52,99.07
2012Q4,104.53,105.34,99.70,102.72,106.89,102.66,103.22,101.36,100.58,106.22,99.36,99.83,101.96,101.53,104.09
2012Q3,100.81,94.83,102.74,99.86,101.09,95.71,98.76,100.98,104.11,105.72,97.23,94.68,97.17,101.37,91.02
2012Q2,99.96,101.60,100.63,100.80,105.29,98.41,100.99,98.87,99.60,103.58,98.03,98.01,100.76,99.39,103.57
2012Q1,99.05,98.31,102.90,100.03,101.51,99.17,101.59,101.62,92.84,104.12,96.61,96.09,99.80,98.44,99.40
2011Q4,103.61,105.32,100.94,103.39,105.50,106.15,103.16,103.70,98.68,105.17,101.45,101.13,102.61,101.32,104.96
2011Q3,101.41,95.04,103.77,99.67,99.71,98.50,98.89,101.73,102.05,106.21,100.09,97.06,97.88,101.56,92.54
